Getting events for app Smarter Foosball in org marcel.seibold@de.ibm.com / space MSFoosball as marcel.seibold@de.ibm.com...

time                          event                   actor                       description   
2015-03-18T12:33:18.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:33:18.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:20:09.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:20:09.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:13:03.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:13:03.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:08:47.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:08:47.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:06:08.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:06:08.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:04:17.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:04:17.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:03:10.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:03:10.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:01:49.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:01:49.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:00:37.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T12:00:37.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:59:13.00+0100   audit.app.update        marcel.seibold@de.ibm.com   state: STARTED   
2015-03-18T11:58:29.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to start, exit_status: -1   
2015-03-18T11:58:29.00+0100   audit.app.update        marcel.seibold@de.ibm.com   state: STOPPED   
2015-03-18T11:58:15.00+0100   audit.app.update        marcel.seibold@de.ibm.com      
2015-03-18T11:58:15.00+0100   audit.app.map-route     marcel.seibold@de.ibm.com      
2015-03-18T11:58:15.00+0100   audit.app.update        marcel.seibold@de.ibm.com   disk_quota: 512, instances: 1, memory: 512, command: PRIVATE DATA HIDDEN, environment_json: PRIVATE DATA HIDDEN   
2015-03-18T11:57:48.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: app instance exited, exit_status: 8   
2015-03-18T11:56:04.00+0100   audit.app.update        marcel.seibold@de.ibm.com      
2015-03-18T11:56:04.00+0100   audit.app.unmap-route   marcel.seibold@de.ibm.com      
2015-03-18T11:56:03.00+0100   audit.app.update        marcel.seibold@de.ibm.com   disk_quota: 512, instances: 1, memory: 512, command: PRIVATE DATA HIDDEN, environment_json: PRIVATE DATA HIDDEN   
2015-03-18T11:55:31.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:55:31.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:54:17.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:54:17.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:53:01.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:53:01.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:52:04.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:52:04.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:51:19.00+0100   audit.app.update        marcel.seibold@de.ibm.com   state: STARTED   
2015-03-18T11:51:03.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to start, exit_status: -1   
2015-03-18T11:51:02.00+0100   audit.app.update        marcel.seibold@de.ibm.com   state: STOPPED   
2015-03-18T11:50:53.00+0100   audit.app.update        marcel.seibold@de.ibm.com   disk_quota: 512, instances: 1, memory: 512, command: PRIVATE DATA HIDDEN, environment_json: PRIVATE DATA HIDDEN   
2015-03-18T11:49:18.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:49:18.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:48:08.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:48:08.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:46:49.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:46:49.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:45:33.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:45:33.00+0100   app.crash               Smarter Foosball            index: 0, reason: CRASHED, exit_description: failed to accept connections within health check timeout, exit_status: 8   
2015-03-18T11:44:40.00+0100   audit.app.update        marcel.seibold@de.ibm.com   state: STARTED   
2015-03-18T11:44:11.00+0100   audit.app.update        marcel.seibold@de.ibm.com   state: STOPPED   
